化合物名称,状态,PubChem CID,分子量,分子式,SMILES 来源,MCE 链接,TCI 链接,Enamine 链接
THDBH110,success,44588632,823.9,C39H55F2N5O10S,PubChem (by SMILES),https://www.medchemexpress.com/catalog.html?q=THDBH110,https://www.tcichemicals.com/US/en/search?keyword=THDBH110,https://enamine.net/chemicals/search?query=THDBH110
AZD5004/ECC5004,success,167350327,880.9,C48H46F2N10O5,PubChem (by SMILES),https://www.medchemexpress.com/catalog.html?q=AZD5004/ECC5004,https://www.tcichemicals.com/US/en/search?keyword=AZD5004/ECC5004,https://enamine.net/chemicals/search?query=AZD5004/ECC5004
APH01727,not_found,,,,,https://www.medchemexpress.com/catalog.html?q=APH01727,https://www.tcichemicals.com/US/en/search?keyword=APH01727,https://enamine.net/chemicals/search?query=APH01727
MDR-001,not_found,,,,,https://www.medchemexpress.com/catalog.html?q=MDR-001,https://www.tcichemicals.com/US/en/search?keyword=MDR-001,https://enamine.net/chemicals/search?query=MDR-001
VCT220/CX11,not_found,,,,,https://www.medchemexpress.com/catalog.html?q=VCT220/CX11,https://www.tcichemicals.com/US/en/search?keyword=VCT220/CX11,https://enamine.net/chemicals/search?query=VCT220/CX11
HSK34890,not_found,,,,,https://www.medchemexpress.com/catalog.html?q=HSK34890,https://www.tcichemicals.com/US/en/search?keyword=HSK34890,https://enamine.net/chemicals/search?query=HSK34890
DA‑302168S,success,172991785,616.0,C33H24ClF2N3O5,PubChem (by SMILES),https://www.medchemexpress.com/catalog.html?q=DA‑302168S,https://www.tcichemicals.com/US/en/search?keyword=DA‑302168S,https://enamine.net/chemicals/search?query=DA‑302168S
GZR18,success,,,,PubChem (by SMILES),https://www.medchemexpress.com/catalog.html?q=GZR18,https://www.tcichemicals.com/US/en/search?keyword=GZR18,https://enamine.net/chemicals/search?query=GZR18
LY3549492,success,155433819,580.6,C33H26F2N4O4,PubChem,https://www.medchemexpress.com/catalog.html?q=LY3549492,https://www.tcichemicals.com/US/en/search?keyword=LY3549492,https://enamine.net/chemicals/search?query=LY3549492
HS‑10501‑2,not_found,,,,,https://www.medchemexpress.com/catalog.html?q=HS‑10501‑2,https://www.tcichemicals.com/US/en/search?keyword=HS‑10501‑2,https://enamine.net/chemicals/search?query=HS‑10501‑2
ZT006,not_found,,,,,https://www.medchemexpress.com/catalog.html?q=ZT006,https://www.tcichemicals.com/US/en/search?keyword=ZT006,https://enamine.net/chemicals/search?query=ZT006
MWN109,not_found,,,,,https://www.medchemexpress.com/catalog.html?q=MWN109,https://www.tcichemicals.com/US/en/search?keyword=MWN109,https://enamine.net/chemicals/search?query=MWN109
HS-10501,not_found,,,,,https://www.medchemexpress.com/catalog.html?q=HS-10501,https://www.tcichemicals.com/US/en/search?keyword=HS-10501,https://enamine.net/chemicals/search?query=HS-10501
HDM1002,success,166540968,586.7,C33H35FN4O5,PubChem (by SMILES),https://www.medchemexpress.com/catalog.html?q=HDM1002,https://www.tcichemicals.com/US/en/search?keyword=HDM1002,https://enamine.net/chemicals/search?query=HDM1002
SAL0112,not_found,,,,,https://www.medchemexpress.com/catalog.html?q=SAL0112,https://www.tcichemicals.com/US/en/search?keyword=SAL0112,https://enamine.net/chemicals/search?query=SAL0112
HRS-7535,not_found,,,,,https://www.medchemexpress.com/catalog.html?q=HRS-7535,https://www.tcichemicals.com/US/en/search?keyword=HRS-7535,https://enamine.net/chemicals/search?query=HRS-7535
LY3502970,success,137319706,883.0,C48H48F2N10O5,PubChem,https://www.medchemexpress.com/catalog.html?q=LY3502970,https://www.tcichemicals.com/US/en/search?keyword=LY3502970,https://enamine.net/chemicals/search?query=LY3502970
NN9487,not_found,,,,,https://www.medchemexpress.com/catalog.html?q=NN9487,https://www.tcichemicals.com/US/en/search?keyword=NN9487,https://enamine.net/chemicals/search?query=NN9487
BGM0504,not_found,,,,,https://www.medchemexpress.com/catalog.html?q=BGM0504,https://www.tcichemicals.com/US/en/search?keyword=BGM0504,https://enamine.net/chemicals/search?query=BGM0504
SYH2067,not_found,,,,,https://www.medchemexpress.com/catalog.html?q=SYH2067,https://www.tcichemicals.com/US/en/search?keyword=SYH2067,https://enamine.net/chemicals/search?query=SYH2067
BPYT-01,not_found,,,,,https://www.medchemexpress.com/catalog.html?q=BPYT-01,https://www.tcichemicals.com/US/en/search?keyword=BPYT-01,https://enamine.net/chemicals/search?query=BPYT-01
RGT-274,not_found,,,,,https://www.medchemexpress.com/catalog.html?q=RGT-274,https://www.tcichemicals.com/US/en/search?keyword=RGT-274,https://enamine.net/chemicals/search?query=RGT-274
RO7795081/CT-996,not_found,,,,,https://www.medchemexpress.com/catalog.html?q=RO7795081/CT-996,https://www.tcichemicals.com/US/en/search?keyword=RO7795081/CT-996,https://enamine.net/chemicals/search?query=RO7795081/CT-996
司美格鲁肽片,not_found,,,,,https://www.medchemexpress.com/catalog.html?q=司美格鲁肽片,https://www.tcichemicals.com/US/en/search?keyword=司美格鲁肽片,https://enamine.net/chemicals/search?query=司美格鲁肽片
